Course,Section,CRN,Course Title,XList,Enrolled Seats,First Name,Last Name,Temporary ID
CU  345,B02,11328,Statistics and Probability,AJ,14,Jamie,Anderson,CU  345 B02 AJ Jamie Anderson
LH  104,B01,11729,Modern Physics,0R,24,Jamie,Thomas,LH  104 B01 0R Jamie Thomas
LH  104,R37,11730,Health Science,0R,2,Quinn,Jackson,LH  104 R37 0R Quinn Jackson
MK  337,B01,11809,Critical Philosophy,12,42,Riley,Wilson,MK  337 B01 12 Riley Wilson
AC  533,B01,11037,World Geography,03,11,Casey,Davis,AC  533 B01 03 Casey Davis
AC  533,R37,11038,Cognitive Psychology,03,1,Peyton,Wilson,AC  533 R37 03 Peyton Wilson
CU  325,B01,11319,Modern Physics,AT,13,Peyton,Smith,CU  325 B01 AT Peyton Smith
CU  325,B02,11320,Microeconomics,AT,12,Riley,Anderson,CU  325 B02 AT Riley Anderson
CU  145,B01,11315,Cognitive Psychology,AF,12,Alex,Davis,CU  145 B01 AF Alex Davis
FP  367,B01,11532,Renewable Energy,AU,18,Jordan,Moore,FP  367 B01 AU Jordan Moore
FP  367,B02,11533,Digital Marketing,AU,11,Taylor,Moore,FP  367 B02 AU Taylor Moore
FP  161,B01,11512,Artificial Intelligence,AM,20,Taylor,Smith,FP  161 B01 AM Taylor Smith
FP  161,B02,11513,Global History,AM,22,Jordan,Smith,FP  161 B02 AM Jordan Smith
FP  361,B01,11524,Modern Physics,AO,18,Reese,Smith,FP  361 B01 AO Reese Smith
FP  361,B02,11525,Data Analytics,AO,11,Alex,Davis,FP  361 B02 AO Alex Davis
BN 300,H01,11117,Microeconomics,IE,17,Riley,Wilson,BN 300 H01 IE Riley Wilson
BN 300,H02,11118,Digital Marketing,IE,18,Reese,Anderson,BN 300 H02 IE Reese Anderson
ML 111,H01,11813,World Geography,IG,19,Riley,Thomas,ML 111 H01 IG Riley Thomas
ML 111,H02,12912,Cognitive Psychology,IG,13,Morgan,Thomas,ML 111 H02 IG Morgan Thomas
ML 115,H01,11817,Artificial Intelligence,IB,18,Alex,Smith,ML 115 H01 IB Alex Smith
ML 115,H01,11817,Statistics and Probability,IB,18,Casey,Anderson,ML 115 H01 IB Casey Anderson
ML 115,H02,11818,Cybersecurity Fundamentals,IB,14,Casey,Brown,ML 115 H02 IB Casey Brown
ML 115,H02,11818,Statistics and Probability,IB,14,Alex,Thomas,ML 115 H02 IB Alex Thomas
BN 105,H03,11113,Cybersecurity Fundamentals,IC,11,Jordan,Wilson,BN 105 H03 IC Jordan Wilson
BN 300,H03,11119,Cybersecurity Fundamentals,IE,10,Casey,Johnson,BN 300 H03 IE Casey Johnson
PN 131,H02,11947,Health Science,I7,22,Quinn,Taylor,PN 131 H02 I7 Quinn Taylor
PW 100,H01,11985,Global History,I9,16,Casey,Smith,PW 100 H01 I9 Casey Smith
PW 100,H02,11986,Advanced Mathematics,I9,15,Morgan,Moore,PW 100 H02 I9 Morgan Moore
PW 100,H03,11987,Environmental Studies,I9,16,Riley,Davis,PW 100 H03 I9 Riley Davis
PW 100,H04,11988,Foundations of Biology,I9,18,Reese,Brown,PW 100 H04 I9 Reese Brown
RT 160,H01,12056,Critical Philosophy,HC,46,Jamie,Davis,RT 160 H01 HC Jamie Davis
AB 322,H01,11012,Critical Philosophy,I3,11,Quinn,Davis,AB 322 H01 I3 Quinn Davis
AB 322,H02,11013,Art History,I3,10,Riley,Davis,AB 322 H02 I3 Riley Davis
PN 131,H03,11948,Advanced Mathematics,I7,16,Quinn,Wilson,PN 131 H03 I7 Quinn Wilson
PN 131,H04,11949,Critical Philosophy,I7,20,Peyton,Jackson,PN 131 H04 I7 Peyton Jackson
PN 327,H04,11969,Renewable Energy,I8,16,Peyton,Johnson,PN 327 H04 I8 Peyton Johnson
PW 100,H01,11985,Introduction to Literature,I9,16,Alex,Moore,PW 100 H01 I9 Alex Moore
PW 100,H02,11986,Foundations of Biology,I9,15,Alex,Johnson,PW 100 H02 I9 Alex Johnson
PW 100,H03,11987,Microeconomics,I9,16,Taylor,Moore,PW 100 H03 I9 Taylor Moore
PW 100,H04,11988,Environmental Studies,I9,18,Jordan,Wilson,PW 100 H04 I9 Jordan Wilson
BN 105,H01,11111,Environmental Studies,IC,16,Riley,Moore,BN 105 H01 IC Riley Moore
BN 105,H02,11112,Cognitive Psychology,IC,15,Riley,Smith,BN 105 H02 IC Riley Smith
CP 355,R37,11213,Health Science,UB,5,Jamie,Moore,CP 355 R37 UB Jamie Moore
ML 115,H01,11817,Digital Marketing,IB,18,Riley,Anderson,ML 115 H01 IB Riley Anderson
ML 115,H01,11817,Cybersecurity Fundamentals,IB,18,Jamie,Wilson,ML 115 H01 IB Jamie Wilson
ML 115,H02,11818,Data Analytics,IB,14,Reese,Taylor,ML 115 H02 IB Reese Taylor
ML 115,H02,11818,Environmental Studies,IB,14,Jamie,Johnson,ML 115 H02 IB Jamie Johnson
SN 100,H01,12064,Microeconomics,ID,18,Casey,Davis,SN 100 H01 ID Casey Davis
SN 100,H01,12064,Organic Chemistry,ID,18,Quinn,Thomas,SN 100 H01 ID Quinn Thomas
SN 100,H02,12065,Microeconomics,ID,23,Riley,Johnson,SN 100 H02 ID Riley Johnson
SN 100,H02,12065,Art History,ID,23,Jamie,Taylor,SN 100 H02 ID Jamie Taylor
AB 329,H01,11018,Cultural Sociology,I6,13,Reese,Anderson,AB 329 H01 I6 Reese Anderson
AB 329,H02,11019,Organic Chemistry,I6,8,Quinn,Davis,AB 329 H02 I6 Quinn Davis
PH 145,H05,11918,Cognitive Psychology,18,24,Morgan,Brown,PH 145 H05 18 Morgan Brown
ML 111,H01,11813,Programming Basics,IG,19,Quinn,Anderson,ML 111 H01 IG Quinn Anderson
ML 111,H02,12912,Critical Philosophy,IG,13,Morgan,Brown,ML 111 H02 IG Morgan Brown
BN 300,H01,11117,Digital Marketing,IE,17,Riley,Taylor,BN 300 H01 IE Riley Taylor
BN 300,H02,11118,Programming Basics,IE,18,Alex,Smith,BN 300 H02 IE Alex Smith
CA 104,H01,11130,Modern Physics,2D,31,Morgan,Taylor,CA 104 H01 2D Morgan Taylor
CA 104,R37,11132,Data Analytics,2D,1,Alex,Davis,CA 104 R37 2D Alex Davis
AB 322,H01,11012,World Geography,I3,11,Peyton,Anderson,AB 322 H01 I3 Peyton Anderson
AB 322,H02,11013,Environmental Studies,I3,10,Reese,Brown,AB 322 H02 I3 Reese Brown
ML 111,H01,11813,Cognitive Psychology,IG,19,Jamie,Jackson,ML 111 H01 IG Jamie Jackson
ML 111,H02,12912,Cultural Sociology,IG,13,Reese,Thomas,ML 111 H02 IG Reese Thomas
BN 105,H03,11113,Digital Marketing,IC,11,Reese,Wilson,BN 105 H03 IC Reese Wilson
BN 105,H03,11113,Advanced Mathematics,IC,11,Reese,Wilson,BN 105 H03 IC Reese Wilson
BN 300,H03,11119,Art History,IE,10,Quinn,Taylor,BN 300 H03 IE Quinn Taylor
AB 122,H01,11007,Statistics and Probability,I1,15,Casey,Anderson,AB 122 H01 I1 Casey Anderson
AB 122,H02,11008,Organic Chemistry,I1,20,Quinn,Moore,AB 122 H02 I1 Quinn Moore
PN 327,H03,11968,Creative Writing,I8,20,Alex,Thomas,PN 327 H03 I8 Alex Thomas
PN 327,H04,11969,Art History,I8,16,Jordan,Thomas,PN 327 H04 I8 Jordan Thomas
PN 131,H03,11948,Microeconomics,I7,16,Morgan,Smith,PN 131 H03 I7 Morgan Smith
PN 131,H04,11949,Modern Physics,I7,20,Taylor,Taylor,PN 131 H04 I7 Taylor Taylor
PW 100,H01,11985,Artificial Intelligence,I9,16,Taylor,Davis,PW 100 H01 I9 Taylor Davis
PW 100,H02,11986,Digital Marketing,I9,15,Taylor,Thomas,PW 100 H02 I9 Taylor Thomas
PW 100,H03,11987,Introduction to Literature,I9,16,Alex,Wilson,PW 100 H03 I9 Alex Wilson
RA 117,H01,12039,Critical Philosophy,IA,10,Taylor,Moore,RA 117 H01 IA Taylor Moore
RA 117,H02,12040,Foundations of Biology,IA,10,Reese,Moore,RA 117 H02 IA Reese Moore
PN 327,H02,11967,World Geography,I8,21,Casey,Anderson,PN 327 H02 I8 Casey Anderson
SN 305,H01,12068,Renewable Energy,IF,24,Reese,Jackson,SN 305 H01 IF Reese Jackson
SN 305,H02,12833,Programming Basics,IF,25,Casey,Brown,SN 305 H02 IF Casey Brown
